State,Percent Cigarette Smokers
Alabama,23.3
Alaska,24.2
Arkansas,23.7
California,14.9
Colorado,17.9
Connecticut,17
Delaware,21.7
Florida,21
Georgia,20
Hawaii,17.5
Idaho,16.8
Illinois,20.5
Indiana,24.1
Iowa,21.5
Kansas,20
Kentucky,28.6
Louisiana,23.4
Maine,20.9
Maryland,17.8
Massachusetts,17.8
Michigan,22.4
Minnesota,18.3
Mississippi,25.1
Missouri,23.3
Montana,19
Nebraska,18.6
Nevada,22.2
New Hampshire,18.7
New Jersey,18.1
New Mexico,20.2
New York,18.3
North Carolina,22.1
North Dakota,19.6
Ohio,22.5
Oklahoma,25.1
Oregon,18.5
Pennsylvania,21.5
Rhode Island,19.3
South Carolina,22.3
South Dakota,20.4
Tennessee,22.6
Texas,18.1
Utah,9.8
Vermont,18
Virginia,19.3
Washington,17.1
West Virginia,25.7
Wyoming,21.6